on x=-29..23,y=-30..15,z=-3..49
on x=-15..38,y=-36..10,z=-43..7
on x=-35..17,y=-28..24,z=-43..2
on x=-39..5,y=1..45,z=-16..31
on x=-32..18,y=-41..6,z=2..46
on x=-11..40,y=-25..24,z=3..47
on x=-32..14,y=-27..17,z=-27..17
on x=-44..7,y=-13..36,z=-22..32
on x=-28..23,y=-37..17,z=-9..37
on x=-16..32,y=-33..11,z=-30..24
off x=8..22,y=7..17,z=-13..-2
on x=-18..36,y=-38..11,z=-10..37
off x=4..18,y=4..13,z=25..40
on x=-9..43,y=-42..8,z=-39..9
off x=-47..-36,y=9..21,z=-23..-12
on x=-16..28,y=-4..43,z=-2..44
off x=-5..14,y=-35..-23,z=1..11
on x=-42..8,y=-20..33,z=-6..38
off x=12..29,y=32..48,z=-16..-5
on x=-28..24,y=-38..6,z=-41..13
on x=-42598..-21332,y=57671..74335,z=-39141..-25199
on x=12842..18253,y=64991..95102,z=-1013..22011
on x=14292..35178,y=31846..56231,z=-69474..-32498
on x=48508..63424,y=40169..73083,z=-32461..-15478
on x=-53272..-39403,y=52253..74802,z=28484..44233
on x=-90886..-70618,y=11167..24324,z=-48298..-27186
on x=42864..69988,y=6494..14874,z=-61402..-48381
on x=32856..60908,y=-21220..2969,z=-82713..-51199
on x=-43236..-38687,y=-54974..-37533,z=43661..67516
on x=-73019..-54512,y=-40226..-19022,z=-47819..-18533
on x=-13374..-1755,y=35159..53318,z=54672..78571
on x=-72459..-49780,y=26623..39906,z=26734..50215
on x=36956..56777,y=49601..68568,z=11190..23931
on x=-8324..11418,y=-67208..-61172,z=30189..64858
on x=4923..22623,y=-57522..-28440,z=55907..86362
on x=-2277..15816,y=-19017..8562,z=71962..84058
on x=47682..78730,y=33432..54807,z=337..16255
on x=-64929..-27785,y=13758..36901,z=-64308..-58493
on x=-7211..15654,y=-82833..-66842,z=-24502..-2170
on x=59929..75054,y=-44675..-34097,z=23165..52720
on x=-73417..-61550,y=-53556..-38306,z=-25883..-4155
on x=8748..25265,y=73993..77417,z=-34445..771
on x=-14709..7230,y=-79004..-71019,z=28017..40892
on x=-80397..-72176,y=-3401..10828,z=31505..43394
on x=-18016..4193,y=-40013..-27336,z=-81455..-58863
on x=-31232..-15336,y=-20532..-17564,z=-82495..-69153
on x=25742..33213,y=46869..66164,z=-48859..-30510
on x=7390..36460,y=-40931..-17361,z=59597..86969
on x=11409..31804,y=-12424..5721,z=-76004..-57299
on x=29479..58120,y=32806..48292,z=43926..52327
on x=-14853..11617,y=-88695..-73267,z=12500..33934
on x=-82166..-59371,y=21068..51664,z=-15692..-9082
on x=-20999..-774,y=68606..93389,z=6118..22102
on x=54001..61244,y=43068..67093,z=-27102..-8664
on x=12628..27587,y=10127..44166,z=-86679..-68135
on x=18006..32413,y=4514..23542,z=-75716..-66524
on x=29306..45247,y=61649..77701,z=-41539..-23287
on x=17315..45470,y=-89034..-55798,z=7999..39105
on x=-14405..-7019,y=-90356..-67700,z=-2807..8810
on x=154..28376,y=-73243..-54031,z=-40410..-28481
on x=-34689..-1394,y=-24168..-11499,z=-74651..-60967
on x=9240..29751,y=39611..42228,z=56227..69266
on x=-31526..-7172,y=-86280..-56151,z=-44770..-20743
on x=5625..24547,y=57302..91433,z=15583..30327
on x=20703..48779,y=-72586..-67013,z=6679..21868
on x=20000..33974,y=23390..42408,z=-65104..-57239
on x=68776..85567,y=-51662..-16317,z=-3647..17523
on x=47026..80229,y=23764..39384,z=-40412..-33947
on x=62203..92353,y=25547..39281,z=-18029..-2580
on x=-38980..-8898,y=50592..62504,z=-53757..-49146
on x=-28219..-22356,y=19671..49819,z=54463..68834
on x=518..25370,y=34936..45165,z=-78491..-49138
on x=8424..23979,y=19495..47499,z=66713..82505
on x=-20637..-5528,y=54556..80890,z=30622..64798
on x=-6742..13867,y=41220..59369,z=-79548..-49878
on x=-15128..4689,y=28139..45103,z=-73047..-69004
on x=37018..61135,y=54878..74986,z=-30910..-21376
on x=-39789..-6449,y=-17149..1538,z=-92188..-75921
on x=9475..21893,y=-70741..-61713,z=30774..51889
on x=-13631..676,y=-81488..-66816,z=-25214..-13796
on x=-80249..-75138,y=-5349..11429,z=16995..36242
on x=-30514..-6269,y=-47818..-16702,z=-82519..-68990
on x=16783..41727,y=-80913..-72593,z=-18313..-11163
on x=71015..74983,y=-19187..544,z=-53014..-16616
on x=-78059..-50212,y=-34630..-14499,z=-33080..-4293
on x=-22855..16120,y=55974..84013,z=-52905..-35677
on x=-71401..-48954,y=28723..51324,z=-40859..-8754
on x=-38799..-14074,y=-26420..-11561,z=62449..71897
on x=-16836..4465,y=-79060..-65986,z=-37261..-8295
on x=-12273..8589,y=50129..81788,z=-61417..-40706
on x=58174..71556,y=31973..52333,z=-5377..26994
on x=-12996..13166,y=36173..63814,z=-75514..-49088
on x=-74909..-56934,y=15628..25602,z=16158..33831
on x=13588..39019,y=-14673..4457,z=63321..85769
